datetime,close
2023-04-10,32.52
2023-04-06,32.81
2023-04-05,32.83
2023-04-04,33.1
2023-04-03,32.89
2023-03-31,32.67
2023-03-30,32.09
2023-03-29,31.52
2023-03-28,29.29
2023-03-27,29.18
2023-03-24,29.36
2023-03-23,29.03
2023-03-22,28.13
2023-03-21,28.46
2023-03-20,29.16
2023-03-17,29.81
2023-03-16,30.18
2023-03-15,28.41
2023-03-14,28.01
2023-03-13,26.95
2023-03-10,27.22
2023-03-09,26.44
2023-03-08,25.98
2023-03-07,25.53
2023-03-06,25.99
2023-03-03,26.4
2023-03-02,26.2
2023-03-01,25.33
2023-02-28,24.93
2023-02-27,24.9
2023-02-24,25.14
2023-02-23,25.61
2023-02-22,25.47
2023-02-21,26.06
2023-02-17,27.61
2023-02-16,28.2
2023-02-15,28.85
2023-02-14,28.64
2023-02-13,28.55
2023-02-10,27.8
2023-02-09,27.73
2023-02-08,28.24
2023-02-07,29.05
2023-02-06,28.69
2023-02-03,30.32
2023-02-02,30.19
2023-02-01,29.07
2023-01-31,28.26
2023-01-30,27.95
2023-01-27,28.16
2023-01-26,30.09
2023-01-25,29.7
2023-01-24,29.92
2023-01-23,30.27
2023-01-20,29.22
2023-01-19,28.42
2023-01-18,28.81
2023-01-17,29.6
2023-01-13,30.11
2023-01-12,30.29
2023-01-11,29.85
2023-01-10,29.44
2023-01-09,29.31
2023-01-06,28.73
2023-01-05,27.56
2023-01-04,27.68
2023-01-03,26.73
